link,text,date,Likes,Comments
https://twitter.com/stevenmackeyman/status/1737234198623355023#m,The Biden DHS incentivizes these illegals to throw away any ID so that it is harder to deport them. All of these people are flying without ID.  We have Zero idea who the people are that we are just giving Business class seats to fly all over the country.,"Dec 19, 2023 · 10:11 PM UTC",115,3
https://twitter.com/larajay66/status/1737261069134086257#m,I pulled into a shopping centre car park. And elderly lady was standing by her car crying. Her husband had died 6 weeks before and she had a flat tyre with no idea how to change it. I set to in business clothes and high heels and changed the tyre for her. Gave her a hug.,"Dec 19, 2023 · 11:58 PM UTC",2,0
https://twitter.com/JustinKeener/status/1737121389465809307#m,"What a really, really great idea. How do Austin residents request “enhanced patrols” like our Congressman? I’d like them at my business, home, kids’ schools. Might also be helpful at parks, malls, churches, 6th Street…   #txlege #atx","Dec 19, 2023 · 2:43 PM UTC",49,6
https://twitter.com/Margiemom/status/1737259726625276009#m,"Her political ideas are irrelevant. Who cares if she wears an Antifa tee shirt? That's her business. And further, she is not the person to go to for scientific fundamentals. You go to the scientists, the climate scientists. Are you one?","Dec 19, 2023 · 11:52 PM UTC",0,1
https://twitter.com/jimsize9/status/1737259710095802853#m,Why are you so obsessed with someone who has absolutely no idea you exist? What business of yours is any of this? #getalife,"Dec 19, 2023 · 11:52 PM UTC",0,0
https://twitter.com/TheSntChris/status/1737259570009973214#m,What's your idea of a fair business model? Cuz that sounds subjective.,"Dec 19, 2023 · 11:52 PM UTC",0,1
https://twitter.com/HMHNewJersey/status/1737259517363015730#m,"As physicians, we may distance ourselves from the idea of palliative care—but identifying it at the right time can radically improve quality of life. We’re testing a revolutionary AI tool that can help.  https://www.bloomberg.com/news/articles/2023-12-18/new-jersey-doctors-test-using-ai-for-hospice-care-decisions @LaurenKoniaris @business @cailliflower","Dec 19, 2023 · 11:52 PM UTC",0,1
https://twitter.com/GreatMichael1/status/1737259349007802472#m,"Business Idea loading. Bro, Hope you can pay for her charges as well","Dec 19, 2023 · 11:51 PM UTC",2,1
https://twitter.com/Rana_kamran43/status/1736629806249505155#m,Start your business with these websites in 2024  1. Name ⇢ Namelix. com  2. Logo ⇢ Looka. com  3. Domain ⇢ NameCheap. com  4. ideas ⇢ chatgpt  5. Writing ⇢ Grammarly. com  6. Research ⇢ AnswerthePublic. com  7. Organizer ⇢ Notion. so  8. website ⇢ Typedream. com  9. website Analytics ⇢ Fathom   10. web Apps ⇢ Bubble. io  11. Seo ⇢ semrus. com  12. Twitter ⇢ twitter hunt  13. youtube ⇢ Tubebuddy. com  14. Newsletter ⇢ Beehiiv. com  15. video Message ⇢ Loom. com  16. Email ⇢ Mailchamp. com  17. Payment ⇢ Stripe. com  18. Link in bio ⇢ Zapa . ai  19. Presentation ⇢ Tome. app  20. Launch ⇢ productHunt. com  what your excuse follow @Rana_kamran43 for more content,"Dec 18, 2023 · 6:09 AM UTC",2433,42
https://twitter.com/Pitbullatlarge/status/1737258937538216197#m,"Right about all of that. Suck it.  Bitcoin is doing great. But he didn't say buy, he said he'd make it easier to do business with the feds in crypto. The Bank of Canada thinks it's a good idea. Stop with the lies already.","Dec 19, 2023 · 11:49 PM UTC",0,0
