link,text,date,Likes,Comments
https://twitter.com/ShingetsuKnight/status/1707907710576885841#m,"He doesn't want to admit it, but he's been doing his research. He's always enjoyed good food and likes the idea of going into business with Frenchie.  Marc shrugs. ""If you don't mind sharing your partner with the god of vengeance.""","Sep 29, 2023 · 11:58 PM UTC",1,1
https://twitter.com/RickyAnalog/status/1707907496017379582#m,the idea here isn't to be hitting homeruns. It's to take trades when the probabilities are in my favor and then manage risk. This is how you treat this like a business. I have a family to feed. The only people IGAF about is them. Nobody else's opinions mean shit. #HAGW,"Sep 29, 2023 · 11:57 PM UTC",12,1
https://twitter.com/Socialist_frogz/status/1707905698221216200#m,Million dollar business idea,"Sep 29, 2023 · 11:50 PM UTC",2,0
https://twitter.com/mhuletdev/status/1707905536610512997#m,"People who say that the industry is moving away from native and to cross-platform don’t work in the industry. Business people like the idea of cross-platform tech, but they categorically grow to regret it, even if they’re the ones that create the cross-platform tech","Sep 29, 2023 · 11:49 PM UTC",4,1
https://twitter.com/CuriousX247/status/1707904983365267695#m,"""The Art of War"" for Business.  ""The Art of War"" by Sun Tzu (5th century BCE), is one of the most concise and influential works that provide valuable insights into the principles of warfare, leadership, and conflict resolution. Sun Tzu's ideas have had a lasting impact not only on military thought but also on business, politics, and various other fields.  Applying the principles of ""The Art of War"" to business strategy can be beneficial for decision-making and competitive advantage. Here are some examples of using the principles in a business context:  ◇ Know Your Market and Competitors:     • Understand your industry, competitors, and market trends thoroughly.    • Gather intelligence to identify strengths, weaknesses, opportunities, and threats (SWOT analysis).  ◇ Adaptability and Flexibility:     • Be adaptable and ready to pivot when market conditions change.    • Adjust your business strategies based on emerging trends and customer preferences.  ◇ Sun Tzu's Five Factors:     • Apply the Five Factors (Moral Law, Heaven, Earth, the Commander, and Method and Discipline) to assess your business environment and strategy.  ◇ Know Your Strengths and Weaknesses:     • Conduct an internal analysis to identify your organization's strengths and weaknesses.    • Allocate resources to reinforce strengths and address weaknesses.  ◇ Deception and Misdirection:     • Use marketing and branding to create a perception of strength and quality, even if you are a smaller business.    • Employ tactics that surprise competitors and disrupt their plans.  ◇ Win Without Fighting:     • Seek win-win solutions and partnerships in negotiations.    • Compete through innovation and unique value propositions that make it difficult for competitors to directly challenge you.  ◇ Strategy and Tactics:     • Develop a clear overarching business strategy (e.g., cost leadership, differentiation).    • Implement tactical plans and initiatives that align with your strategy.  ◇ Resource Management:     • Efficiently allocate and manage resources, including finances, personnel, and time.    • Avoid overextension by focusing on key areas of strength and opportunity.  ◇ The Art of Timing:     • Identify the right timing for product launches, marketing campaigns, and market entries.    • Seize opportunities when your competitors are weak or unprepared.  ◇ Leadership and Decision-Making:     • Lead with wisdom, adaptability, and a deep understanding of your team's strengths and weaknesses.    • Make well-informed decisions based on accurate information and analysis.  ◇ Avoid Protracted Conflicts:     • Resolve disputes and conflicts swiftly to prevent long-term damage to relationships or resources.    • Seek peaceful resolutions in negotiations when possible.  ◇ Gather Intelligence on your Competitors:     • Gather competitive intelligence to stay informed about your rivals' strategies, weaknesses, and plans.    • Leverage this information to make informed decisions and anticipate market moves.  ◇ Balance Risk and Reward:     • Assess the risks associated with your business decisions and take calculated risks when the potential rewards justify them.  ◇ Continuous Improvement:     • Implement a culture of continuous improvement to refine your products, services, and processes.    • Strive for excellence in all aspects of your business.  ◇ Winning Hearts and Minds:     • Build strong customer relationships and brand loyalty through exceptional customer service and quality.    • Ensure that your customers become advocates for your business.  By incorporating these principles from ""The Art of War"" into your business strategy, you can enhance your competitive edge, make more informed decisions, and navigate the complexities of the business world more effectively.","Sep 29, 2023 · 11:47 PM UTC",2,0
https://twitter.com/AmandaWillSB/status/1707904616443363507#m,"Akella Raghavendra : How to Become Rich Fast || Make Money online || Online Business Ideas || MW [Video] Akella Raghavendra : How to Become Rich Fast || Make Money online || Online Business Ideas || MWWelcome to Money Wallet Channel, The Place where you… dlvr.it/Swndd6","Sep 29, 2023 · 11:46 PM UTC",0,0
https://twitter.com/SPSDigitalTech/status/1707904545630683635#m,Business idea (a thread): A software tool that uses machine learning and AI to automatically review and flag potential vulnerabilities in the code.,"Sep 29, 2023 · 11:45 PM UTC",0,1
https://twitter.com/ZiegeValkyrie/status/1707903956142501929#m,"🙈🙊🙉 My idea is to have congress/senators for the duration of their term(s), live in a welfare hotel in the poorest area they represent & only shop at the surrounding stores. It'll force 'em to clean-up the place & to keep business-owners, their employees & customers safe. 🤣","Sep 29, 2023 · 11:43 PM UTC",2,1
https://twitter.com/KahtiaOO/status/1707903918607671609#m,They should have adult pumpkin patches with 21+ only. With a brewery and picnic tables with food trucks and live bands. Cute little backdrops for pics  Hmm actually that’s a good lil business idea for myself 🤔,"Sep 29, 2023 · 11:43 PM UTC",1,1
https://twitter.com/Eisenbeis18/status/1707903512841961740#m,"How many people have died from Covid? Teachers who were coming in and teaching their classes till their last dying breath, police officers, bus drivers, priests, worshippers, business employees…you have no idea how many deaths were caused by the lack of action and misinformation","Sep 29, 2023 · 11:41 PM UTC",0,0
https://twitter.com/laurencecapel/status/1707903498258657622#m,"Shirts sell with names. The business model is sound. You want to put these players in front of a global audience, they want player X on their back.  No idea why they don't consider moving to assigned squad numbers. Not traditional sure but overcomes new shirts weekly issue.","Sep 29, 2023 · 11:41 PM UTC",1,0
https://twitter.com/georgedarroch/status/1707903427131605146#m,Because most people have no idea where JB is.,"Sep 29, 2023 · 11:41 PM UTC",0,0
https://twitter.com/GordonDuax/status/1707903288085975257#m,"In the old folks home? He may know his way in large business dealings, but has no idea on how to control his employees. Should have fired The FBI director, Fouci, and Milley.","Sep 29, 2023 · 11:40 PM UTC",0,0
https://twitter.com/georgedarroch/status/1707903110033932500#m,Most people have no idea where JB is.,"Sep 29, 2023 · 11:40 PM UTC",1,0
https://twitter.com/erichhartmann/status/1707902225815687590#m,"Just your occasional reminder that @duolingo, a friggin app, decided it was a smart business idea to make fun of people with medical injuries and disabilities. This is how broken our society is at the moment. This is how awful people behave in order to score social hits.","Sep 29, 2023 · 11:36 PM UTC",8,1
https://twitter.com/TMulessa/status/1707901665083589020#m,"Libs think giving companies money to come here are investing in canada. What a stupid idea. Give someone money to set up here, and then leave when the subsidies run out. Seeing this in the wind and solar business. Companies eave when subsidies run out","Sep 29, 2023 · 11:34 PM UTC",0,0
https://twitter.com/claychuckyclay/status/1707901123892478246#m,Like Qantas to the Yes Campaign. Anything Qantas wants seems like a great idea to oppose. Toxic business who are happy to rip off customers and the taxpayer. And the Ues campaign happy to take their money. #auspol,"Sep 29, 2023 · 11:32 PM UTC",0,0
https://twitter.com/PriyankaDasSgJV/status/1707901086181499216#m,Thank you my darling hubby @SadhguruJV for promoting my business idea in front of this world 💯❤️,"Sep 29, 2023 · 11:32 PM UTC",0,0
https://twitter.com/PriyankaDasSgJV/status/1707900634576634136#m,Thank you my darling hubby @SadhguruJV for promoting my business idea in front of this world 💯❤️,"Sep 29, 2023 · 11:30 PM UTC",0,0
https://twitter.com/GodwinTakyia/status/1707900128638759069#m,"@taju_rich that's a good idea, business man 😂😂","Sep 29, 2023 · 11:28 PM UTC",1,1
https://twitter.com/HolidayletLinda/status/1707899905543446859#m,"Can you give me some ideas how to disguise my 12 year old business. I was thinking about disguising it as a brothel or do you think that is,  you know, a bit boring.   You're an expert of disguise, any ideas? But Sshh! Don't tell anyone  that I'm going in disguise will you.","Sep 29, 2023 · 11:27 PM UTC",7,0
https://twitter.com/ProcessServerOK/status/1707899812081738118#m,"@ServeManager love the idea of the APP. Still needs some work, especially around the offline mode.  Need a field beta tester?   I would also like  to see even basic expense tracking so I can pull complete business into one platform.","Sep 29, 2023 · 11:27 PM UTC",0,0
https://twitter.com/limeysnyper/status/1707899039789060166#m,"Yes, its LEGAL IMMIGRANTS with the right to work that are doing that. This dude heard something on Twitter and is repeating it. He has ZERO idea of what he is talking about. You cannot get a business license without being able to work here. Illegal Immigrants cannot legally do it","Sep 29, 2023 · 11:23 PM UTC",0,1
https://twitter.com/ulovemunz/status/1707898185472000228#m,"Even if there was I don’t think it’s a good idea. But there’s a business idea, rent out an area, put security and offer it to people 😭","Sep 29, 2023 · 11:20 PM UTC",0,1
https://twitter.com/c16668/status/1707897423048380683#m,Plenty of ideas? Sure? Hahhaha,"Sep 29, 2023 · 11:17 PM UTC",0,0
https://twitter.com/ElAnCapPe/status/1707897203275034732#m,"And this for people with large platforms. You little guys have no idea what a government can do with the IRS. Even if you didn't do anything wrong, your business will be on a special list. One misstep and poof.","Sep 29, 2023 · 11:16 PM UTC",0,0
https://twitter.com/Mohit_Lama_/status/1707897040037134595#m,"""What would you do if you weren't afraid?""    Take a deep breath and think about it.    Maybe you'd start the business you've always thought of, talk to that girl in school, finally quit video games, start going to the gym.    Now stop.   Have a few ideas? Good, go do them.","Sep 29, 2023 · 11:16 PM UTC",2,0
https://twitter.com/spicy__bites/status/1707896819961725065#m,One great business idea just came to my mind now!  By Allah I have many ideas on business of food.  We have no limitations in this industry,"Sep 29, 2023 · 11:15 PM UTC",5,0
https://twitter.com/business/status/1707896058792100193#m,"Republicans have plenty of ideas on how to stop a shutdown. They just can’t agree on one plan, much less get Democrats to go along https://trib.al/4IEgmBB","Sep 29, 2023 · 11:12 PM UTC",11,5
https://twitter.com/MarkAng38855922/status/1707895673822027961#m,"What is really scary is that people actually believe that those small payments caused this inflation, when private business was producing nothing. Better rethink that entire idea.","Sep 29, 2023 · 11:10 PM UTC",1,2
https://twitter.com/Spacecolonize/status/1707895330862424498#m,Business idea.  Business intel that tells you who has an adjacent business and you should pamper.  Car Wash Guy sees a lot of flat and worn tires and can refer a lot of people to Discount tire so worth $50 to fix his puncture for free etc.  So you run the credit card and it tells,"Sep 29, 2023 · 11:09 PM UTC",2,0
https://twitter.com/_ProfitPath/status/1707895317998289181#m,Business Idea:   Become own a hospital and health insurance agency in America.,"Sep 29, 2023 · 11:09 PM UTC",1,0
https://twitter.com/AndrewG35802174/status/1707894919061270765#m,Dog a fan of Elon.. yo.. business partner..aye... 17% of anything I'll even make the idea. Or use a.i what up dog... A pitching woo too the whole. And ama see what up with Businesses or assistance I can capitalize on. No pun intended,"Sep 29, 2023 · 11:07 PM UTC",0,0
https://twitter.com/yayasview/status/1707894696197206328#m,Free million dollar business idea – marketplace for Slack emojis.,"Sep 29, 2023 · 11:06 PM UTC",9,2
https://twitter.com/AmandaWillSB/status/1707894584251203636#m,5 Online Business Ideas [Video] 5 Online Business ... dlvr.it/SwnbJ9,"Sep 29, 2023 · 11:06 PM UTC",0,0
https://twitter.com/collin_ruth89/status/1707894533483323556#m,"First heard this term from Mark Cuban on Shark Tank.  It’s someone that wants to start a business but doesn’t have the guts to dive in 100%.  They spend a little time here and there on their idea, but they never give it their all.","Sep 29, 2023 · 11:06 PM UTC",1,0
https://twitter.com/bythelake6/status/1707894501329494021#m,Its certainly an abdication but it is a deliberate policy. There is no Conservative govt anywhere (or GOP) that cares about the “regular” folks. Its big business. Cut taxes. Help rich friends. And jump on every “populist” idea that comes along.,"Sep 29, 2023 · 11:05 PM UTC",1,1
https://twitter.com/dappledphotons/status/1707894377711083871#m,"Business idea: Truthtellers. You ask questions of people you're paying (who are under oath, licensed, and thorough in their research) to be told truths about yourself that your partners/friends/coworkers/randos won't because of hurting you feelings/bias/preserving relations, etc.","Sep 29, 2023 · 11:05 PM UTC",0,0
https://twitter.com/collin_ruth89/status/1707894197007876355#m,"First heard this term from Mark Cuban on Shark Tank.  It’s someone that wants to start a business but doesn’t have the guts to dive in 100%.  They spend a little time here and there on their idea, but they never give it their all.","Sep 29, 2023 · 11:04 PM UTC",2,0
